Id_codedep_codecommune;Code_departement;Code_commune;Code_postal;Nom_commune;Population;Id_region
01_103;01;103;1170;CHEVRY;798;R84
06_004;06;004;6160;ANTIBES;257;R84
06_088;06;088;6000;NICE;14514;R84
06_123;06;123;6700;SAINT LAURENT DU VAR;1776;R84
13_005;13;005;13400;AUBAGNE;118;R84
13_028;13;028;13600;LA CIOTAT;2915;R84
13_208;13;208;13008;MARSEILLE 8EME;777;R84
13_212;13;212;13012;MARSEILLE 12EME;335;R84
14_338;14;338;14510;HOULGATE;1122;R84
14_366;14;366;14100;LISIEUX;379;R84
17_300;17;300;17000;LA ROCHELLE;333;R84
25_056;25;056;25000;BESANCON;147;R84
29_232;29;232;29000;QUIMPER;3442;R84
29_260;29;260;29290;SAINT RENAN;667;R84
31_555;31;555;31500;TOULOUSE;469;R84
33_063;33;063;33800;BORDEAUX;473;R84
33_097;33;097;33121;CARCANS;1485;R84
33_449;33;449;33160;SAINT MEDARD EN JALLES;1267;R84
34_145;34;145;34400;LUNEL;76;R84
34_150;34;150;34340;MARSEILLAN;3316;R84
34_199;34;199;34120;PEZENAS;4171;R84
37_156;37;156;37270;MONTLOUIS-SUR-LOIRE;1041;R84
37_261;37;261;37000;TOURS;2615;R84
38_185;38;185;38000;GRENOBLE;634;R84
40_266;40;266;40170;ST-JULIEN-EN-BORN;693;R84
40_328;40;328;40480;VIEUX BOUCAU-LES-BAINS;844;R84
44_143;44;143;44400;REZE;3886;R84
44_184;44;184;44600;SAINT-NAZAIRE;3405;R84
51_230;51;230;51200;EPERNAY;16728;R84
54_395;54;395;54000;NANCY;9582;R84
56_161;56;161;56400;PLOEMEL;318;R84
58_194;58;194;58000;NEVERS;1345;R84
59_512;59;512;59100;ROUBAIX;312;R84
60_057;60;057;60000;BEAUVAIS;775;R84
60_155;60;155;60660;CIRES LES MELLO;451;R84
60_159;60;159;60200;COMPIEGNE;496;R84
60_524;60;524;60290;RANTIGNY;769;R84
69_149;69;149;69600;OULLINS;305;R84
69_384;69;384;69004;LYON 4EME;4867;R84
74_119;74;119;74500;EVIAN-LES-BAINS;648;R84
74_236;74;236;74170;SAINT GERVAIS LES BAINS;287;R84
74_238;74;238;74430;SAINT-JEAN-D'AULPS;903;R84
74_278;74;278;74300;THYEZ;1214;R84
75_105;75;105;75005;PARIS 05;3356;R84
75_110;75;110;75010;PARIS 10;369;R84
75_111;75;111;75011;PARIS 11;92;R84
75_112;75;112;75012;PARIS 12;1489;R84
75_115;75;115;75015;PARIS 15;849;R84
75_118;75;118;75018;PARIS 18;514;R84
76_217;76;217;76200;DIEPPE;540;R84
76_451;76;451;76130;MONT-SAINT-AIGNAN;1090;R84
76_655;76;655;76460;SAINT-VALERY-EN-CAUX;1876;R84
77_118;77;118;77410;CLAYE-SOUILLY;90;R84
78_350;78;350;78430;LOUVECIENNES;268;R84
78_423;78;423;78180;MONTIGNY LE BRETONNEUX;790;R84
78_545;78;545;78210;SAINT-CYR-L ECOLE;1542;R84
78_551;78;551;78100;SAINT-GERMAIN-EN-LAYE;3256;R84
78_586;78;586;78500;SARTROUVILLE;1025;R84
78_640;78;640;78140;VELIZY VILLACOUBLAY;2624;R84
83_062;83;062;83130;LA GARDE;1413;R84
83_069;83;069;83400;HYERES;128;R84
83_112;83;112;83270;SAINT-CYR-SUR-MER;199;R84
83_123;83;123;83110;SANARY SUR MER;1590;R84
84_007;84;007;84000;AVIGNON;842;R84
85_047;85;047;85300;CHALLANS;657;R84
86_062;86;062;86360;CHASSENEUIL-DU-POITOU;756;R84
86_194;86;194;86000;POITIERS;642;R84
87_075;87;075;87170;ISLE;944;R84
87_085;87;085;87100;LIMOGES;913;R84
91_249;91;249;91470;FORGES-LES-BAINS;405;R84
91_689;91;689;91320;WISSOUS;292;R84
92_025;92;025;92700;COLOMBES;930;R84
92_026;92;026;92400;COURBEVOIE;2303;R84
92_036;92;036;92230;GENNEVILLIERS;362;R84
92_044;92;044;92300;LEVALLOIS-PERRET;1662;R84
93_032;93;032;93220;GAGNY;5134;R84
93_051;93;051;93160;NOISY-LE-GRAND;773;R84
93_057;93;057;93320;LES PAVILLONS-SOUS-BOIS;865;R84
93_071;93;071;93270;SEVRAN;1064;R84
94_044;94;044;94450;LIMEIL-BREVANNES;1195;R84
94_060;94;060;94510;LA QUEUE-EN-BRIE;1623;R84
94_080;94;080;94300;VINCENNES;159;R84
95_252;95;252;95130;FRANCONVILLE LA GARENNE;976;R84
95_388;95;388;95180;MENUCOURT;2196;R84
95_607;95;607;95150;TAVERNY;471;R84
01_262;01;262;1120;MONTLUEL;1882;R84
02_408;02;408;2000;LAON;186;R84
03_190;03;190;3000;MOULINS;137;R84
04_073;04;073;4400;ENCHASTRAYES;1200;R84
04_166;04;166;4500;RIEZ;2272;R84
04_209;04;209;4200;SISTERON;158;R84
06_027;06;027;6800;CAGNES SUR MER;462;R84
06_159;06;159;6230;VILLEFRANCHE-SUR-MER;510;R84
10_323;10;323;10100;ROMILLY SUR SEINE;153;R84
13_119;13;119;13470;CARNOUX-EN-PROVENCE;1310;R84
13_201;13;201;13001;MARSEILLE 1ER;117;R84
13_204;13;204;13004;MARSEILLE 4EME;1197;R84
13_206;13;206;13006;MARSEILLE 6EME;697;R84
13_209;13;209;13009;MARSEILLE 9EME;625;R84
14_118;14;118;14000;CAEN;516;R84
14_333;14;333;14600;HONFLEUR;306;R84
