Id_bien;No_voie;BTQ;Type _voie;Voie;Total_ pieces ;Surface_local;Surface Carrez;Type_local;Id_codedep_codecommune
1;347;;RUE;DU CHATEAU;3;48;48,22;Appartement;01_103
2;4;;BD;EDOUARD BAUDOIN;1;40;39,11;Appartement;06_004
3;20;B;RUE;MARCEAU;3;82;80,25;Appartement;06_088
4;550;;RTE;DES VESPINS RN7;1;27;27,51;Appartement;06_123
5;9300;;RES;LES ARPEGES BD DES ABA;2;47;47,33;Appartement;13_005
6;27;;RUE;DU GRAND MADIER;1;24;25,31;Appartement;13_028
7;360;;AV;DU PRADO;3;70;70,84;Appartement;13_208
8;5076;F;PARC;DESSUARD;3;66;67,19;Appartement;13_212
9;1194;;RUE;DE NORMANDIE;1;19;18,89;Appartement;14_338
10;30;;ALL;DES NOISETIERS;4;99;105,37;Maison;14_366
11;11;;RUE;ROUGET DE L ISLE;2;34;31,99;Appartement;17_300
12;13;;RUE;BERTHE MORISOT;5;100;96,21;Maison;25_056
13;1;;RUE;DU POHER;1;31;30,86;Appartement;29_232
14;2;;RUE;DES JARDINS;3;67;66,21;Appartement;29_260
15;5;;AV;DU COMMANDANT TAILLANDIER;2;46;45,58;Appartement;31_555
16;15;;RUE;PAUL DENUCE;1;27;23,2;Appartement;33_063
17;176;;RUE;SAINTE CATHERINE;1;12;13,1;Appartement;33_063
18;822;G;;LA BAYNASSE SUD;2;29;29;Appartement;33_097
19;9;;RUE;DE BELFORT;2;51;51,4;Appartement;33_449
20;183;;RUE;MARC ANTOINE MENARD;1;18;16,79;Appartement;34_145
21;50;;AV;ANDRE CHASSEFIERE;2;51;51,4;Appartement;34_150
22;8;;PL;DES ETATS DU LANGUEDOC;3;85;68,22;Appartement;34_199
23;7;;RUE;JEAN-JACQUES ROUSSEAU;4;89;88,45;Maison;37_156
24;197;;AV;DE GRAMMONT;2;46;42,94;Appartement;37_261
25;48;;BD;MAL FOCH;4;77;76,48;Appartement;38_185
26;210;;RTE;DU TAILLEUR;3;53;48,23;Maison;40_266
27;199;;RES;MER ET GOLF-LE BOUCANIER;2;48;49,91;Appartement;40_328
28;3;;ALL;JEAN PERRIN;2;45;46,3;Appartement;44_143
29;12;;RUE;FERDINAND BUISSON;2;48;47,24;Appartement;44_184
30;35;;AV;DE CHAMPAGNE;4;79;81,09;Appartement;51_230
31;26;;RUE;MESSIER;2;39;39,69;Appartement;54_395
32;5794;;;GOLF SAINT LAURENT;3;44;43,85;Appartement;56_161
33;5;;RUE;DE PRUNEVEAUX;4;124;108,78;Appartement;58_194
34;118;;BD;DU GENERAL DE GAULLE;3;71;89,84;Appartement;59_512
35;247;;RUE;DE NOTRE DAME DU THIL;2;48;48,35;Appartement;60_057
36;34;;RUE;DE LA VILLE;1;18;19,11;Appartement;60_155
37;15;;SQ;JEAN BAPTISTE CLEMENT;5;97;97,39;Appartement;60_159
38;84;;AV;JEAN JAURES;1;32;31,73;Appartement;60_524
39;54;;RUE;DE LA BUSSIERE;2;51;49,89;Appartement;69_149
40;15;;RUE;ARTAUD;1;20;20,02;Appartement;69_384
41;1;;AV;D ABONDANCE;2;33;34,86;Appartement;74_119
42;950;;AV;DU MONT D ARBOIS;2;39;39,05;Appartement;74_236
43;110;;RTE;DE LA TELECABINE;1;20;18,93;Appartement;74_238
